epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,36746.3,1.39823,1.30781,1.76555,0.81931,0.81542,0.85929,0.54377,1.31971,1.05853,1.64874,0.000189475,0.000189475,0.000189475
146,36980,1.42282,1.35567,1.79591,0.83787,0.81464,0.85969,0.55691,1.29006,1.06834,1.62547,0.000183523,0.000183523,0.000183523
147,37171,1.40882,1.34312,1.76969,0.8404,0.8014,0.85197,0.54641,1.29943,1.08073,1.63555,0.000177651,0.000177651,0.000177651
148,37397.8,1.43687,1.34893,1.81515,0.83006,0.81789,0.8496,0.54528,1.28679,1.07719,1.62875,0.000171859,0.000171859,0.000171859
149,37628,1.39299,1.30286,1.75426,0.84691,0.81917,0.853,0.5506,1.25409,1.03863,1.60786,0.000166149,0.000166149,0.000166149
150,37892.1,1.40812,1.3299,1.75877,0.83702,0.8176,0.85725,0.55957,1.26047,1.03781,1.6083,0.000160523,0.000160523,0.000160523
151,38104.6,1.40827,1.29295,1.76138,0.83952,0.81372,0.85636,0.56499,1.26743,1.02359,1.61572,0.000154982,0.000154982,0.000154982
152,38394.2,1.40773,1.34374,1.78182,0.86143,0.82566,0.86619,0.5802,1.24842,1.00697,1.59568,0.000149527,0.000149527,0.000149527
153,38635,1.38674,1.30399,1.753,0.84197,0.83476,0.86561,0.57953,1.2377,1.03401,1.58358,0.000144161,0.000144161,0.000144161
154,38849.9,1.41505,1.31543,1.77593,0.84711,0.83578,0.86789,0.57411,1.22817,1.02558,1.58848,0.000138883,0.000138883,0.000138883
155,39118.8,1.35084,1.26249,1.72785,0.84725,0.82283,0.86215,0.56776,1.24847,1.02435,1.59756,0.000133695,0.000133695,0.000133695
156,39408.6,1.36427,1.27065,1.72986,0.85212,0.83628,0.86555,0.58024,1.23121,1.0074,1.59053,0.000128599,0.000128599,0.000128599
157,39552.9,1.38276,1.30456,1.7428,0.85669,0.83394,0.86712,0.57717,1.24799,0.99033,1.59317,0.000123596,0.000123596,0.000123596
158,39704.2,1.40897,1.33425,1.77869,0.84152,0.84392,0.86915,0.57399,1.24682,1.02111,1.59431,0.000118687,0.000118687,0.000118687
159,39838.8,1.36421,1.24349,1.70973,0.84591,0.8316,0.8738,0.57456,1.25054,1.01609,1.59565,0.000113873,0.000113873,0.000113873
160,39986.8,1.33839,1.2201,1.70251,0.86512,0.82552,0.87745,0.58237,1.21766,1.00018,1.58261,0.000109156,0.000109156,0.000109156
161,40163.3,1.35233,1.21434,1.71393,0.85738,0.83159,0.87404,0.58529,1.20677,0.98955,1.57057,0.000104537,0.000104537,0.000104537
162,40302.9,1.35623,1.22958,1.72063,0.85461,0.82886,0.87543,0.586,1.20831,0.99106,1.57482,0.000100016,0.000100016,0.000100016
163,40486.7,1.36409,1.284,1.74285,0.85066,0.83124,0.8668,0.58354,1.20911,0.99805,1.57554,9.55951e-05,9.55951e-05,9.55951e-05
164,40627.3,1.32742,1.22478,1.71785,0.84475,0.83687,0.86987,0.58809,1.1962,0.99457,1.5642,9.12754e-05,9.12754e-05,9.12754e-05
165,40805.9,1.36481,1.24942,1.71446,0.84446,0.85398,0.87171,0.58695,1.21433,1.00304,1.57487,8.70577e-05,8.70577e-05,8.70577e-05
166,40986.1,1.32678,1.23466,1.70554,0.8584,0.83634,0.87438,0.59136,1.21086,0.97767,1.56892,8.29431e-05,8.29431e-05,8.29431e-05
167,41097.5,1.34915,1.24248,1.69749,0.85917,0.84472,0.87803,0.58934,1.21629,0.96897,1.5728,7.89327e-05,7.89327e-05,7.89327e-05
168,41345.9,1.32247,1.23821,1.68237,0.85643,0.8476,0.87848,0.60152,1.18118,0.96369,1.55138,7.50274e-05,7.50274e-05,7.50274e-05
169,41477.2,1.32615,1.25434,1.703,0.85475,0.85148,0.87666,0.59778,1.19287,0.94972,1.55911,7.12282e-05,7.12282e-05,7.12282e-05
170,41738.1,1.31594,1.22282,1.68095,0.85768,0.84,0.87787,0.60139,1.16517,0.96081,1.53898,6.7536e-05,6.7536e-05,6.7536e-05
171,41875.7,1.31967,1.20967,1.6805,0.84852,0.83032,0.87688,0.59605,1.19126,0.97037,1.55448,6.39518e-05,6.39518e-05,6.39518e-05
172,42126.4,1.32926,1.23407,1.69893,0.84382,0.84838,0.87591,0.59852,1.16524,0.96754,1.53637,6.04763e-05,6.04763e-05,6.04763e-05
173,42312.5,1.29495,1.18948,1.6665,0.86747,0.83284,0.87901,0.59372,1.18181,0.95961,1.54771,5.71106e-05,5.71106e-05,5.71106e-05
174,42488.9,1.33059,1.2416,1.7027,0.8621,0.8279,0.87814,0.59836,1.1696,0.95845,1.54083,5.38554e-05,5.38554e-05,5.38554e-05
175,42650.9,1.31804,1.22459,1.69995,0.85971,0.82049,0.8788,0.5982,1.16497,0.95994,1.53701,5.07115e-05,5.07115e-05,5.07115e-05
176,42857.4,1.32188,1.21189,1.70947,0.86754,0.82334,0.88332,0.5874,1.20979,0.97173,1.56394,4.76796e-05,4.76796e-05,4.76796e-05
